application_number,ticker,sponsor_name,brand_name,approval_date,pct_change_day3,direction,volatility_30d
BLA761106,RHHBY,GENENTECH INC,HERCEPTIN HYLECTA,2026-05-18,1.66,1,1.3048
NDA219878,AZN,ASTRAZENECA PHARMS,BAXFENDY,2026-05-15,-0.17,0,1.293
NDA213535,RHHBY,GENENTECH INC,EVRYSDI,2026-02-10,2.63,1,1.5481
NDA219884,ACAD,ACADIA PHARMS INC,DAYBUE STIX,2025-12-11,1.68,1,2.4104
NDA218160,LLY,ELI LILLY AND CO,RETEVMO,2025-11-20,1.96,1,1.7002
NDA219208,NVS,NOVARTIS,VANRAFIA,2025-04-02,-3.43,0,1.3201
NDA209299,RIGL,RIGEL PHARMS,TAVALISSE,2025-02-04,15.26,1,4.8276
NDA219209,VRTX,VERTEX PHARMS INC,JOURNAVX,2025-01-30,6.53,1,1.2589
NDA204353,JNJ,JANSSEN PHARMS,INVOKAMET,2024-12-18,-1.33,0,0.9682
BLA761113,SNY,SANOFI AVENTIS US,SARCLISA,2024-10-25,3.42,1,0.9419
NDA214770,MRK,MSD MERCK CO,NOXAFIL POWDERMIX KIT,2024-10-25,-2.03,0,0.9827
NDA021366,AZN,ASTRAZENECA,CRESTOR,2024-07-31,5.02,1,0.9683
NDA022427,ABBV,ABBVIE,ACUVAIL,2024-05-24,-2.19,0,1.2953
NDA211675,ABBV,ABBVIE,RINVOQ,2024-04-26,-2.78,0,1.3995
NDA022425,SNY,SANOFI AVENTIS US,MULTAQ,2023-10-23,2.0,1,0.9272
BLA761151,UCBJY,UCB INC,BIMZELX,2023-10-17,-8.9,0,1.3844
NDA212725,RHHBY,GENENTECH INC,ROZLYTREK,2023-08-31,-4.85,0,1.1774
NDA205879,JNJ,JANSSEN PHARMS,INVOKAMET XR,2023-07-05,-2.51,0,0.7019
NDA206333,ABBV,ABBVIE,KYBELLA,2022-10-05,-2.27,0,1.9402
BLA761149,RHHBY,GENENTECH,ENSPRYNG,2022-09-14,0.91,1,1.2304
NDA212018,JNJ,JANSSEN BIOTECH,BALVERSA,2022-04-27,-2.29,0,1.1464
NDA212728,PFE,PFIZER,NURTEC ODT,2022-03-31,-2.86,0,1.9711
NDA211349,ALPMY,ASTELLAS,XOSPATA,2022-01-12,0.61,1,1.1202
BLA761103,PFE,PFIZER INC,RUXIENCE,2021-11-15,2.29,1,2.5433
NDA213895,HIK,HIKMA,VANCOMYCIN,2021-08-26,0.0,0,0.0
BLA761109,LLY,ELI LILLY AND CO,LYUMJEV,2021-08-13,3.51,1,1.2482
NDA215110,ABBV,ABBVIE,MAVYRET,2021-06-10,1.23,1,0.9244
NDA020776,PFE,PFIZER,DAYPRO ALTA,2021-04-28,0.52,1,1.0907
NDA019201,NVS,NOVARTIS,VOLTAREN,2021-04-28,-1.62,0,0.8008
BLA761105,ABBV,ABBVIE INC,SKYRIZI,2021-04-26,0.49,1,1.1393
BLA761099,PFE,PFIZER INC,ZIRABEV,2021-02-09,-1.12,0,1.0363
NDA208944,SUPN,SUPERNUS PHARMS,GOCOVRI,2021-02-01,0.37,1,2.2189
NDA210656,PFE,PFIZER,DAURISMO,2020-03-19,-11.96,0,3.956
BLA125117,BMRN,BIOMARIN,NAGLAZYME,2019-12-17,1.78,1,1.5591
NDA212726,RHHBY,GENENTECH INC,ROZLYTREK,2019-08-15,1.33,1,1.2445
NDA022044,MRK,MSD SUB MERCK,JANUMET,2019-08-12,-2.48,0,1.3749
NDA022426,TAK,TAKEDA PHARMS USA,OSENI,2017-12-21,0.88,1,1.0234
NDA208624,ABBV,ABBVIE,VIEKIRA XR,2017-11-09,-0.62,0,1.5599
NDA208215,GILD,GILEAD SCIENCES INC,DESCOVY,2017-09-28,-0.41,0,1.7223
NDA205060,AZN,ASTRAZENECA,EPANOVA,2017-03-09,2.24,1,0.9107
NDA202107,CORT,CORCEPT THERAP,KORLYM,2016-10-25,-1.28,0,2.2213
NDA203952,ABBV,ABBVIE,DUOPA,2016-09-15,-0.68,0,0.738
NDA205065,BMRN,BIOMARIN PHARM,KUVAN,2016-08-09,-7.08,0,2.8744
BLA125409,RHHBY,GENENTECH,PERJETA,2016-03-22,-0.86,0,1.0953
NDA202123,GILD,GILEAD SCIENCES INC,COMPLERA,2016-03-09,1.12,1,1.7882
NDA202813,TEVA,TEVA BRANDED PHARM,QNASL,2016-02-29,-1.21,0,2.0611
NDA021323,ABBV,ABBVIE,LEXAPRO,2016-01-28,-4.76,0,2.827
NDA021332,AZN,ASTRAZENECA AB,SYMLIN,2015-03-20,0.78,1,1.3812
BLA125085,RHHBY,GENENTECH,AVASTIN,2014-08-14,1.34,1,0.7468
NDA021035,UCBJY,UCB INC,KEPPRA,2014-03-07,-1.92,0,1.5776
BLA125156,RHHBY,GENENTECH,LUCENTIS,2014-02-27,-3.6,0,1.4223
BLA125104,BIIB,BIOGEN IDEC,TYSABRI,2013-12-15,1.93,1,3.1244
BLA125418,SNY,SANOFI AVENTIS US,ZALTRAP,2013-10-25,0.7,1,1.153
NDA020164,SNY,SANOFI AVENTIS US,LOVENOX (PRESERVATIVE FREE),2013-09-27,1.93,1,1.4532
NDA022037,TAK,TAKEDA PHARMS USA,INTUNIV,2013-08-23,0.87,1,1.2335
BLA125151,SHPG,SHIRE,ELAPRASE,2013-06-24,0.44,1,1.1659
NDA019813,JNJ,JANSSEN PHARMS,DURAGESIC-100,2013-04-15,1.4,1,0.5747
NDA022433,AZN,ASTRAZENECA,BRILINTA,2013-03-29,-0.14,0,1.1355
NDA022030,PFE,PFIZER,TOVIAZ,2013-01-23,1.2,1,1.0407
NDA203585,TEVA,TEVA PHARMS INTL,SYNRIBO,2012-10-26,1.4,1,1.1102
BLA125118,BMY,BRISTOL MYERS SQUIBB,ORENCIA,2011-08-18,-1.61,0,1.8638
NDA022033,JAZZ,JAZZ PHARMS,LUVOX CR,2011-05-09,2.46,1,2.1757
NDA022081,GILD,GILEAD,LETAIRIS,2011-03-03,5.2,1,1.4458
NDA020552,PFE,PFIZER,COVERA-HS,2010-04-13,-1.74,0,0.9656
BLA125276,RHHBY,GENENTECH,ACTEMRA,2010-01-08,1.07,1,1.285
